ids,comment_type,comment_text
0,2П/О, Перевод собственных средств С карты Kaspi Business *8799
1,2П/О, Перевод собственных средств С карты Kaspi Business *8799
2,2П/О, Перевод собственных средств С карты Kaspi Business *8799
3,2П/О, Перевод собственных средств С карты Kaspi Business *8799
4,2П/О, Перевод собственных средств С карты Kaspi Business *8799
5,2П/О, Перевод собственных средств С карты Kaspi Business *8799
6,2П/О,"Перевод собственных средств с карты Kaspi Business №537040DVBMTD8799 на текущий счет №KZ59722S000002504290, от 31/01/2022"
7,2П/О,"Перевод собственных средств с карты Kaspi Business №537040DVBMTD8799 на текущий счет №KZ59722S000002504290, от 31/01/2022"
8,1П2," Погашение просроченной комиссии за ведение счета (абонентская плата) за декабрь 2021 согласно тарифного плана ""Kaspi Pay"", без НДС сч KZ59722S000002504290 ИИН/БИН 190840022747"
9,1П1," За профессиональные, научные и технические услуги. Согласно счет на оплату № 1093 от 24 мая 2021 г. За бухгалтерские услуги."
10,1П1, Прочие безвозмездные переводы денег на карту Kaspi Gold *6176
11,1П2," Погашение просроченной комиссии за ведение счета (абонентская плата) за сентябрь 2021 согласно тарифного плана ""Kaspi Pay"", без НДС сч KZ59722S000002504290 ИИН/БИН 190840022747"
12,1Н1, ОСМС_июль 21
13,1Н1, ОПВ_июль 2021г.
14,1Н1, ВОСМС_июль 21г.
15,1Н1, СО_июль 21г
16,1Н2, СН_июль 21
17,1Н1, Пеня ОПВ_июль 2021г.
18,1Н1, ПеняСО_июль 21г
19,1Н1, ПеняОСМС_июль 21
20,1Н2, ПеняСН_июль 21
21,1П/О, Прочие безвозмездные переводы денег на карту Kaspi Gold *6176
22,1П1," За профессиональные, научные и технические услуги. Согласно счет на оплату № 1093 от 24 мая 2021 г. За бухгалтерские услуги."
23,1П2," Погашение просроченной комиссии за ведение счета (абонентская плата) за декабрь 2021 согласно тарифного плана ""Kaspi Pay"", без НДС сч KZ59722S000002504290 ИИН/БИН 190840022747"
24,1П2," Погашение просроченной комиссии за ведение счета (абонентская плата) за ноябрь 2021 согласно тарифного плана ""Kaspi Pay"", без НДС сч KZ59722S000002504290 ИИН/БИН 190840022747"
0,2ПОС,ОС
1,2ПОС," Оплата товара, услуги, по карте 427274******6863, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 31.08.21 на сумму 3260(KZT), Терминал 20903613"
2,2ПОС," Оплата товара, услуги, по карте 533193******2050, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 01.09.21 на сумму 1612.8(KZT), Терминал 20903613"
4,2ПОС," Оплата товара, услуги, по карте 445045******9759, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 02.09.21 на сумму 2760(KZT), Терминал 20903613"
5,2ПОС," Оплата товара, услуги, по карте 512769******5783, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 03.09.21 на сумму 1864(KZT), Терминал 20903613"
6,2ПОС," Оплата товара, услуги, по карте 426739******3237, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 04.09.21 на сумму 3540(KZT), Терминал 20903613"
7,2ПОС," Оплата товара, услуги, по карте 533193******2050, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 05.09.21 на сумму 1939.2(KZT), Терминал 20903613"
8,2ПОС," Оплата товара, услуги, по карте 445237******4462, BEERLIN,ST.BUHAR ZHYRAU, D.35,ALMATY,KZ, 06.09.21 на сумму 21114(KZT), Терминал 20903613"
